 DATE ,MAXATTR, MAXFOWARD, MAXBACKWARD, GAP, MINSUPPORT, MAXNODES, EFGS, NODES, NUMATTR, ATTRBERN, EDGEBERN, NODES/EFG, P1, P2, P3, EDGE WEIGHT, P1, P2, P3, NODE WEIGHT, P1, P2, P3, ATTR WEIGHT, P1, P2, P3, TIME, NUMEDGES, TOTALSUBGRAPHS, HOTSUBGRAPHS, 0-EDGE, 1-EDGE, 2-EDGE, 3-EDGE, 4-EDGE, 5-EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/06/2015 10:18:01,5,10,10,0,0,5,1,10,5,0.5,0.5,g,1,10,20,g,1,10,10,E,1,0,0,E,1,0,0,85166,39,6306661,16124,27,390,1692,7554,6461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2015 02:29:42,100,100,100,0,0.06323664,100,100,1000,100,0.5,0.5,G,1,10,10,G,1,10,10,E,1,0,0,E,1,0,0,1441,6542,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/06/2015 09:27:12,5,10,10,0,0.1,5,1,10,5,0.5,0.5,g,1,10,20,g,1,10,10,E,1,0,0,E,1,0,0,37,46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/06/2015 09:27:17,5,10,10,0,0.1,5,1,10,5,0.5,0.5,g,1,10,20,g,1,10,10,E,1,0,0,E,1,0,0,41,45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/06/2015 09:51:47,5,10,10,0,0.1,5,1,10,5,0.5,0.5,g,1,10,20,g,1,10,10,E,1,0,0,E,1,0,0,45,44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/06/2015 09:53:07,5,10,10,0,0.1,5,1,10,5,0.5,0.5,g,1,10,20,g,1,10,10,E,1,0,0,E,1,0,0,46,45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/06/2015 09:59:09,5,10,10,0,0.1,5,1,10,5,0.5,0.5,g,1,10,20,g,1,10,10,E,1,0,0,E,1,0,0,50,43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/06/2015 10:11:30,5,10,10,0,0.1,5,1,10,5,0.5,0.5,g,1,10,20,g,1,10,10,E,1,0,0,E,1,0,0,36,42,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/06/2015 10:15:42,5,10,10,0,0.1,5,1,10,5,0.5,0.5,g,1,10,20,g,1,10,10,E,1,0,0,E,1,0,0,36,45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/06/2015 10:15:45,5,10,10,0,0.1,5,1,10,5,0.5,0.5,g,1,10,20,g,1,10,10,E,1,0,0,E,1,0,0,55,41,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
